Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
1651478,OVAL,0.52,VS2,G,EX,EX,VG,ST,6.53,4.6,2.72,1598.32
1799859,EMERALD,0.3,VS1,F,VG,VG,GD,N,4.48,3.23,2.13,928.72
1763904,EMERALD,0.4,VS2,G,VG,VG,GD,N,5.32,3.48,2.21,1174.21
1659583,ROUND,0.53,VS1,H,EX,EX,EX,ST,5.15,5.17,3.23,2351.87
1785091,EMERALD,0.3,VVS2,F,EX,EX,GD,N,4.27,3.2,2.23,1013.85
1769740,OVAL,0.7,VS2,I,EX,EX,VG,ST,7.55,4.79,2.96,2292.32
1799792,EMERALD,0.4,SI2,D,EX,EX,VG,N,5.26,3.42,2.19,1172.2
1785736,PRINCESS,0.4,SI1,D,EX,EX,VG,N,4.07,4.0,2.92,1247.9
1612563,CUSHION,0.9,VS1,I,EX,EX,VG,N,5.51,5.4,3.63,3420.86
1646207,OVAL,0.53,VS2,H,EX,VG,VG,N,6.85,4.56,2.69,1662.66
1776448,OVAL,0.5,VS1,F,EX,EX,VG,M,6.3,4.65,2.79,1801.61
1671998,MARQUISE,0.5,VS2,F,EX,EX,EX,N,8.01,4.13,2.6,1973.69
1749111,EMERALD,0.5,VS2,D,EX,VG,GD,F,5.13,3.78,2.58,1661.27
1799320,ROUND,0.52,SI2,G,EX,EX,EX,M,5.15,5.17,3.22,2085.93
1779999,PRINCESS,0.5,VS1,F,VG,VG,FR,N,4.34,4.24,2.97,1719.74
201231-139,CUSHION,1.2,VS1,G,EX,EX,VG,N,6.06,5.86,3.98,7974.06
1639565,CUSHION,0.55,VS1,H,EX,EX,EX,ST,4.78,4.52,3.04,1392.9
1782938,OVAL,0.5,VS1,F,EX,EX,VG,F,6.69,4.54,2.65,2044.12
1649097,OVAL,0.5,VS1,D,EX,EX,VG,N,6.75,4.42,2.69,2028.98
1745110,EMERALD,0.32,VS1,F,EX,GD,GD,N,4.55,3.41,2.33,902.6
1608363,CUSHION,0.9,VS1,L,EX,EX,VG,F,5.69,5.19,3.52,1550.5
1794404,EMERALD,0.33,VS1,F,EX,EX,VG,F,4.83,3.2,2.19,1056.96
1654381,PRINCESS,0.53,IF,K,EX,EX,VG,N,4.44,4.37,3.19,1271.45
1742138,PRINCESS,0.58,SI1,F,EX,EX,VG,N,4.69,4.61,3.23,1681.03
1633494,ROUND,0.5,SI1,G,EX,EX,EX,F,5.08,5.1,3.17,2043.82
1663855,ROUND,0.5,SI1,E,VG,EX,GD,N,5.1,5.16,3.08,2108.58
200655-186,CUSHION,1.05,SI1,FANCY,EX,EX,VG,N,6.39,5.21,3.53,3404.8
